user_id,item_id,time
0,0,974938131
0,1,974938138
1,1,1081177536
5,1,1200939987
7,1,1047054679
15,1,1417280839
17,1,1342827258
18,1,1171758989
19,1,974912380
21,1,1478454818
27,1,1498521896
31,1,1519102787
32,1,1040048606
33,1,1354124326
40,1,1504310088
43,1,1145460355
44,1,978559977
45,1,974666749
46,1,1187496816
50,1,834787617
54,1,971114033
57,1,1525282063
63,1,1064450770
64,1,1349220973
66,1,992331540
68,1,835861270
71,1,1348610194
73,1,953139766
76,1,1498521958
78,1,1455050359
82,1,1447517997
86,1,1352673468
89,1,1171734284
90,1,1461561494
91,1,841107487
93,1,1035308879
96,1,1105649861
98,1,1142805069
103,1,1005967944
107,1,1186258010
112,1,1076898243
119,1,1200870325
121,1,1491090869
124,1,1493846399
130,1,1157919859
132,1,1337200317
134,1,939715591
135,1,1435944174
137,1,858351188
140,1,852114116
141,1,1420497290
144,1,1389217580
145,1,1126708309
151,1,1179166029
153,1,844162933
155,1,941729405
156,1,1128356997
159,1,1513130713
160,1,1460303366
161,1,1004408403
166,1,835642917
167,1,1202060553
169,1,950726408
171,1,974906614
177,1,1446750047
178,1,1207502955
179,1,1525290760
182,1,1117506922
185,1,1167789905
186,1,989716114
191,1,1304537443
193,1,976138069
200,1,1229886448
201,1,953927590
202,1,1161520881
206,1,1178293385
213,1,1258429912
214,1,1181495298
216,1,1043535851
217,1,968440698
219,1,1026158590
220,1,1200865334
223,1,1186087094
226,1,978748680
229,1,1415576270
232,1,1085403562
233,1,955941703
234,1,1277097571
239,1,1154718976
240,1,1034137793
247,1,1049078254
249,1,860397228
252,1,1178292998
254,1,1460186721
263,1,1230931767
264,1,975827681
266,1,1435526241
269,1,973588566
270,1,1520408496
273,1,1385823634
274,1,1332474771
275,1,966597632
276,1,1072654131
277,1,863976249
279,1,828124616
280,1,1049076773
282,1,965705347
283,1,841142032
288,1,833529993
290,1,961514958
291,1,975692736
292,1,939114353
293,1,1053021014
298,1,1377308567
304,1,1119984123
307,1,961513534
314,1,945888155
322,1,1237857482
323,1,1464267308
328,1,1523788888
330,1,1498516121
332,1,1506394347
334,1,1211305442
336,1,1167790849
337,1,940638152
339,1,1167861056
341,1,1110231105
347,1,1172025967
350,1,1436008297
353,1,1368892423
357,1,940380424
359,1,1460136822
364,1,986173413
367,1,1493849192
372,1,996258118
373,1,1464199579
378,1,1518380888
380,1,1491091733
381,1,899033229
382,1,1034136139
385,1,965705097
389,1,1447599163
391,1,1498870517
396,1,1030476219
399,1,1453924615
401,1,1179161677
411,1,1186804251
412,1,855583362
414,1,1100185924
420,1,1104773732
422,1,1519348733
432,1,1277096943
434,1,1054782648
436,1,1119364260
438,1,1127128753
443,1,1147794788
448,1,978819723
451,1,1358151533
453,1,1446580787
456,1,1162048002
460,1,1167377890
462,1,1069633806
468,1,845469365
469,1,1535627215
470,1,1498029369
471,1,1494291381
474,1,1285027751
476,1,832841244
477,1,1121744363
480,1,1165732766
483,1,975212641
484,1,1089638385
488,1,1498504605
490,1,1137323378
492,1,1482548514
500,1,1161559814
504,1,1195259214
509,1,1009691562
514,1,945670208
517,1,845651650
522,1,1167378073
